Theta1,Theta1dot, Theta2, Theta2dot
-1.037787,-0.303460,-0.758676,-6.471920
-1.039141,-0.203738,-0.791283,-6.500289
-1.039993,-0.105541,-0.824029,-6.525638
-1.040351,-0.008977,-0.856899,-6.547860
-1.040223,0.085858,-0.889878,-6.566848
-1.039619,0.178876,-0.922948,-6.582492
-1.038547,0.270000,-0.956093,-6.594685
-1.037017,0.359161,-0.989295,-6.603326
-1.035038,0.446303,-1.022537,-6.608314
-1.032622,0.531376,-1.055800,-6.609559
-1.029779,0.614345,-1.089066,-6.606977
-1.026519,0.695179,-1.122314,-6.600494
-1.022852,0.773861,-1.155525,-6.590048
-1.018791,0.850380,-1.188679,-6.575587
-1.014345,0.924736,-1.221755,-6.557073
-1.009526,0.996938,-1.254734,-6.534482
-1.004344,1.067000,-1.287595,-6.507805
-0.998811,1.134946,-1.320317,-6.477045
-0.992936,1.200808,-1.352879,-6.442223
-0.986731,1.264622,-1.385261,-6.403373
-0.980206,1.326433,-1.417443,-6.360541
-0.973370,1.386291,-1.449404,-6.313792
-0.966234,1.444249,-1.481126,-6.263199
-0.958807,1.500368,-1.512587,-6.208849
-0.951099,1.554711,-1.543770,-6.150840
-0.943118,1.607344,-1.574657,-6.089280
-0.934874,1.658337,-1.605228,-6.024285
-0.926373,1.707762,-1.635467,-5.955978
-0.917625,1.755692,-1.665358,-5.884487
-0.908637,1.802201,-1.694884,-5.809946
-0.899416,1.847364,-1.724029,-5.732490
-0.889969,1.891254,-1.752780,-5.652256
-0.880302,1.933944,-1.781122,-5.569382
-0.870422,1.975505,-1.809043,-5.484005
-0.860334,2.016006,-1.836529,-5.396258
-0.850043,2.055512,-1.863568,-5.306273
-0.839555,2.094084,-1.890150,-5.214178
-0.828875,2.131780,-1.916264,-5.120097
-0.818008,2.168653,-1.941900,-5.024149
-0.806956,2.204748,-1.967048,-4.926450
-0.795725,2.240109,-1.991701,-4.827107
-0.784318,2.274768,-2.015850,-4.726228
-0.772739,2.308756,-2.039487,-4.623914
-0.760992,2.342093,-2.062605,-4.520263
-0.749079,2.374795,-2.085198,-4.415369
-0.737005,2.406870,-2.107260,-4.309324
-0.724772,2.438320,-2.128785,-4.202221
-0.712384,2.469139,-2.149768,-4.094148
-0.699843,2.499319,-2.170205,-3.985196
-0.687154,2.528841,-2.190091,-3.875455
-0.674320,2.557686,-2.209422,-3.765016
-0.661344,2.585826,-2.228196,-3.653973
-0.648230,2.613234,-2.246410,-3.542419
-0.634981,2.639875,-2.264060,-3.430454
